area,price,Adress,floor,facade,road_in,car_parking,bedrooms,wc
86 ,65.0,"Phường Hàng Bông, Quận Hoàn Kiếm",8,43,15,4,11,11
130 ,85.0,"Phường Liễu Giai, Quận Ba Đình",4,9,50,4,4,6
106 ,18.5,"Phường Thịnh Quang, Quận Đống Đa",8,62,3,4,11,11
130 ,65.0,"Phường Bạch Đằng, Quận Hai Bà Trưng",4,6,20,4,6,9
120 ,29.0,", Quận Đống Đa",9,5,20,4,11,11
73 ,16.0,"Phường Mai Dịch, Quận Cầu Giấy",5,9,10,0,6,4
133 ,39.0,"Phường Thượng Đình, Quận Thanh Xuân",1,8,10,0,0,0
60 ,9.0,"Phường Mộ Lao, Quận Hà Đông",0,0,0,0,0,0
42 ,8.0,"Phường Mộ Lao, Quận Hà Đông",0,0,0,0,0,0
60 ,9.0,"Phường Dương Nội, Quận Hà Đông",0,0,0,0,0,0
60 ,9.1,"Phường La Khê, Quận Hà Đông",4,39,6,1,4,2
83 ,1.1,"Phường La Khê, Quận Hà Đông",4,5,6,1,4,3
48 ,10.5,"Phường La Khê, Quận Hà Đông",4,4,6,1,4,3
60 ,22.9,"Phường Phúc La, Quận Hà Đông",7,15,8,1,4,2
55 ,25.0,"Phường Trung Liệt, Quận Đống Đa",5,13,6,1,4,4
120 ,22.5,"Phường Văn Quán, Quận Hà Đông",5,24,10,2,4,4
114 ,21.5,"Phường Mộ Lao, Quận Hà Đông",3,7,6,1,2,2
104 ,20.6,"Phường Mộ Lao, Quận Hà Đông",5,6,6,1,3,3
68 ,16.5,"Phường Văn Quán, Quận Hà Đông",5,45,8,1,4,4
60 ,20.0,"Phường Trung Hòa, Quận Cầu Giấy",4,5,6,2,6,4
60 ,21.0,"Phường Trung Hòa, Quận Cầu Giấy",7,43,5,2,6,5
50 ,9.0,"Phường Kiến Hưng, Quận Hà Đông",6,5,5,1,5,4
82 ,19.5,"Phường Văn Quán, Quận Hà Đông",6,47,8,1,6,4
38 ,7.7,"Phường Văn Quán, Quận Hà Đông",5,35,5,1,3,3
47 ,9.8,"Phường Phúc La, Quận Hà Đông",5,4,6,2,4,3
65 ,24.5,"Phường Trung Hòa, Quận Cầu Giấy",7,47,5,2,10,5
38 ,7.7,"Phường Văn Quán, Quận Hà Đông",5,35,5,1,3,3
82 ,19.5,"Phường Văn Quán, Quận Hà Đông",6,47,8,1,6,4
45 ,9.6,"Phường Văn Quán, Quận Hà Đông",7,31,6,1,4,4
68 ,16.5,"Phường Văn Quán, Quận Hà Đông",5,45,8,1,4,4
100 ,33.5,"Phường Ô Chợ Dừa, Quận Đống Đa",7,9,30,4,11,11
72 ,17.2,"Phường Giáp Bát, Quận Hoàng Mai",6,45,8,4,5,0
45 ,15.0,"Phường Ô Chợ Dừa, Quận Đống Đa",5,46,7,0,4,0
63 ,17.0,"Phường Nhân Chính, Quận Thanh Xuân",4,45,8,3,6,0
44 ,5.6,"Phường Quang Trung, Quận Hà Đông",4,585,3,1,4,4
35 ,4.25,"Phường Hà Cầu, Quận Hà Đông",4,32,4,1,4,4
66 ,23.0,"Phường Vĩnh Phúc, Quận Ba Đình",6,86,5,2,5,5
291 ,179.0,"Phường Nghĩa Đô, Quận Cầu Giấy",9,8,8,2,7,7
230 ,145.0,"Phường Nghĩa Đô, Quận Cầu Giấy",10,10,8,4,11,11
142 ,90.0,"Phường Yên Hòa, Quận Cầu Giấy",6,16,8,0,0,0
217 ,88.0,"Phường Ô Chợ Dừa, Quận Đống Đa",9,83,6,2,8,8
61 ,42.0,"Phường Ô Chợ Dừa, Quận Đống Đa",7,5,6,1,7,6
52 ,9.0,"Phuong La Khe, Ha Dong",5,4,16,0,5,4
60 ,9.6,"Phuong La Khe, Ha Dong",5,4,16,0,5,5
41 ,9.2,"Phường Phương Liệt, Quận Thanh Xuân",2,0,0,3,0,0
176 ,31.0,"Phuong Duong Noi, Ha Dong",5,7,25,0,6,4
100 ,36.0,"Phường Bách Khoa, Quận Hai Bà Trưng",0,6,0,4,0,0
190 ,120.0,"Phường Bạch Mai, Quận Hai Bà Trưng",9,0,0,4,4,0
100 ,23.0,"Phường Bách Khoa, Quận Hai Bà Trưng",5,6,0,4,4,0
145 ,128.0,"Phường Hàng Mã, Quận Hoàn Kiếm",8,8,0,4,11,0
105 ,6.6,"Phuong Phu Lam, Ha Dong",1,6,12,0,1,1
60 ,15.5,"Phường Thành Công, Quận Ba Đình",0,0,0,0,0,0
130 ,22.0,"Phuong Phuong Lien, Dong Da",2,4,10,0,2,2
35 ,11.3,"Phường Ô Chợ Dừa, Quận Đống Đa",5,0,0,1,4,4
130 ,22.0,"Phuong Phuong Lien, Dong Da",2,4,10,0,2,2
45 ,13.5,"Phường Hoàng Liệt, Quận Hoàng Mai",5,37,8,0,0,0
59 ,17.0,"Phường Hoàng Liệt, Quận Hoàng Mai",5,0,20,0,0,0
80 ,13.0,"Phuong Phuc Dong, Long Bien",7,5,10,0,4,6
133 ,42.0,"Phường Trương Định, Quận Hai Bà Trưng",2,10,40,0,0,0
45 ,13.68,"Phường Mỹ Đình 1, Quận Nam Từ Liêm",7,0,0,1,7,6
66 ,11.5,"Phuong Quan Hoa, Cau Giay",5,6,5,0,4,4
32 ,3.0,"Phường La Khê, Quận Hà Đông",0,0,0,0,0,0
80 ,18.0,"Phường Thanh Xuân Bắc, Quận Thanh Xuân",0,0,0,0,0,0
110 ,22.0,"Phường Minh Khai, Quận Hai Bà Trưng",5,0,0,0,0,0
75 ,11.0,"Phường Khương Đình, Quận Thanh Xuân",0,0,0,0,0,0
115 ,25.5,"Phường Khương Mai, Quận Thanh Xuân",0,0,0,0,0,0
65 ,15.0,"Phường Minh Khai, Quận Hai Bà Trưng",0,0,0,0,0,0
50 ,11.9,"Phuong Phu La, Ha Dong",5,5,12,0,4,5
70 ,0.0,"Phường Phúc La, Quận Hà Đông",0,0,0,0,0,0
50 ,0.0,"Phường Mễ Trì, Quận Nam Từ Liêm",0,0,0,0,0,0
110 ,0.0,"Phường Mộ Lao, Quận Hà Đông",0,0,0,0,0,0
67 ,0.0,"Phường Nhân Chính, Quận Thanh Xuân",0,0,0,0,0,0
55 ,0.0,"Phường Quang Trung, Quận Hà Đông",0,0,0,0,0,0
78 ,0.0,"Phường Vạn Phúc, Quận Hà Đông",0,0,0,0,0,0
65 ,14.1,"Phường La Khê, Quận Hà Đông",0,0,0,0,0,0
55 ,0.0,"Phường Vạn Phúc, Quận Hà Đông",0,0,0,0,0,0
46 ,11.69,"Phường Thượng Đình, Quận Thanh Xuân",0,0,0,0,0,0
35 ,0.0,"Phường Nguyễn Trãi, Quận Hà Đông",0,0,0,0,0,0
40 ,0.0,"Phường Quang Trung, Quận Hà Đông",0,0,0,0,0,0
105 ,0.0,"Phường Nguyễn Trãi, Quận Hà Đông",0,0,0,0,0,0
110 ,16.6,"Phường Văn Quán, Quận Hà Đông",0,0,0,0,0,0
50 ,9.15,"Xã Tân Triều, Huyện Thanh Trì",0,0,0,0,0,0
98 ,0.0,"Phường Mộ Lao, Quận Hà Đông",0,0,0,0,0,0
50 ,0.0,"Phường La Khê, Quận Hà Đông",0,0,0,0,0,0
35 ,0.0,"Phường Nguyễn Trãi, Quận Hà Đông",0,0,0,0,0,0
90 ,0.0,"Phường Mộ Lao, Quận Hà Đông",0,0,0,0,0,0
98 ,0.0,"Phường Mộ Lao, Quận Hà Đông",0,0,0,0,0,0
65 ,14.1,"Phường La Khê, Quận Hà Đông",0,0,0,0,0,0
110 ,0.0,"Phường Mộ Lao, Quận Hà Đông",0,0,0,0,0,0
175 ,2.8,"Xã Đông Phương Yên, Huyện Chương Mỹ",1,10,10,2,1,1
40 ,8.3,"Phuong Ha Cau, Ha Dong",4,35,22,0,4,4
420 ,90.0,"Phường Khương Trung, Quận Thanh Xuân",3,17,30,0,0,0
90 ,11.5,"Phuong Phu La, Ha Dong",5,45,24,0,5,4
53 ,9.0,"Phuong Xuan Dinh, Bac Tu Liem",4,36,7,0,5,5
38 ,4.2,"Phường Mai Dịch, Quận Cầu Giấy",3,5,7,2,3,2
104 ,63.0,"Phuong Hang Bong, Hoan Kiem",4,42,6,0,4,4
104 ,63.0,"Phuong Hang Bong, Hoan Kiem",4,42,6,0,4,4
60 ,7.6,"Phuong Phuc La, Ha Dong",5,4,15,0,9,6
35 ,4.0,"Phường Dương Nội, Quận Hà Đông",0,0,0,0,0,0
105 ,6.6,"Phuong Phu Lam, Ha Dong",1,6,12,0,1,1
42 ,17.0,"Phường Dịch Vọng, Quận Cầu Giấy",0,0,0,0,0,0
120 ,20.5,"Phường Văn Quán, Quận Hà Đông",0,0,0,0,0,0
36 ,0.0,"Phường Văn Quán, Quận Hà Đông",0,0,0,0,0,0
60 ,10.91,"Phường Thanh Xuân Trung, Quận Thanh Xuân",0,0,0,0,0,0
90 ,0.0,"Phường Mộ Lao, Quận Hà Đông",0,0,0,0,0,0
90 ,0.0,"Phường Văn Quán, Quận Hà Đông",0,0,0,0,0,0
60 ,0.0,"Phường Thanh Xuân Nam, Quận Thanh Xuân",0,0,0,0,0,0
75 ,23.5,"Phuong Yen Hoa, Cau Giay",6,5,9,0,5,5
62 ,13.7,"Phường Đồng Nhân, Quận Hai Bà Trưng",0,0,0,0,0,0
65 ,12.7,"Phường Kiến Hưng, Quận Hà Đông",4,5,24,2,3,3
31 ,5.2,"Phường Nhân Chính, Quận Thanh Xuân",5,0,0,0,3,0
151 ,26.5,"Phường Vạn Phúc, Quận Hà Đông",1,9,8,0,2,2
35 ,6.9,"Phường Giáp Bát, Quận Hoàng Mai",0,0,0,0,0,0
52 ,12.0,"Phường Khương Thượng, Quận Đống Đa",0,0,0,0,4,0
54 ,14.5,"Phường Đồng Tâm, Quận Hai Bà Trưng",0,0,0,0,4,0
60 ,6.8,"Phường Minh Khai, Quận Hai Bà Trưng",0,0,0,0,0,0
66 ,24.6,"Phường Láng Hạ, Quận Đống Đa",6,4,30,0,0,0
90 ,90.0,"Phường Bùi thị Xuân, Quận Hai Bà Trưng",9,9,30,0,0,0
52 ,15.0,"Phường Trung Hòa, Quận Cầu Giấy",8,46,7,3,4,9
96 ,0.0,"Phường Yên Hòa, Quận Cầu Giấy",0,0,0,0,0,0
93 ,0.0,"Phường Yên Hòa, Quận Cầu Giấy",0,0,0,0,0,0
93 ,0.0,"Phường Yên Hòa, Quận Cầu Giấy",0,0,0,0,0,0
224 ,0.0,"Phường Nhân Chính, Quận Thanh Xuân",0,0,0,0,0,0
90 ,0.0,"Phường Nhân Chính, Quận Thanh Xuân",0,0,0,0,0,0
